clean_feature,feature,importance
favorite view category infrequent sklearn,cat__favorite_view_category_infrequent_sklearn,9.58408655670823e-07
first country Belgium,cat__first_country_Belgium,8.94373233585608e-07
favorite cart category Home/Campus Collection/,cat__favorite_cart_category_Home/Campus Collection/,8.610527843574616e-07
first country Pakistan,cat__first_country_Pakistan,7.810400916406619e-07
first country Romania,cat__first_country_Romania,3.642194027298972e-07
first country Bangladesh,cat__first_country_Bangladesh,1.6546699010805477e-07
first country Ecuador,cat__first_country_Ecuador,1.417521600184692e-07
first country Denmark,cat__first_country_Denmark,8.808166226634705e-08
first country Ukraine,cat__first_country_Ukraine,1.1117717107752917e-08
first country South Africa,cat__first_country_South Africa,3.712566485313598e-09
first country Slovakia,cat__first_country_Slovakia,1.0322336399473026e-17
sessions with cart view,num__sessions_with_cart_view,0.0
total cart views,num__total_cart_views,0.0
first country Serbia,cat__first_country_Serbia,0.0
first country Palestine,cat__first_country_Palestine,0.0
first country Puerto Rico,cat__first_country_Puerto Rico,0.0
first country Norway,cat__first_country_Norway,0.0
first country Morocco,cat__first_country_Morocco,0.0
first country New Zealand,cat__first_country_New Zealand,0.0
first country Nigeria,cat__first_country_Nigeria,0.0
first country Slovenia,cat__first_country_Slovenia,0.0
first country Kenya,cat__first_country_Kenya,0.0
first country Kazakhstan,cat__first_country_Kazakhstan,0.0
first country Jordan,cat__first_country_Jordan,0.0
first country Latvia,cat__first_country_Latvia,0.0
first country Egypt,cat__first_country_Egypt,0.0
first country Hungary,cat__first_country_Hungary,0.0
first country Iraq,cat__first_country_Iraq,0.0
first country Chile,cat__first_country_Chile,0.0
first country Finland,cat__first_country_Finland,0.0
first country Dominican Republic,cat__first_country_Dominican Republic,0.0
first country Czechia,cat__first_country_Czechia,0.0
first country Costa Rica,cat__first_country_Costa Rica,0.0
first country Bulgaria,cat__first_country_Bulgaria,0.0
first country Argentina,cat__first_country_Argentina,0.0
first country Algeria,cat__first_country_Algeria,0.0
first country Kuwait,cat__first_country_Kuwait,0.0
favorite view category Home/Apparel/Socks/,cat__favorite_view_category_Home/Apparel/Socks/,0.0
first country Tunisia,cat__first_country_Tunisia,0.0
first country Sri Lanka,cat__first_country_Sri Lanka,0.0
favorite view category Water Bottles/,cat__favorite_view_category_Water Bottles/,0.0
favorite view category Mugs & Tumblers/,cat__favorite_view_category_Mugs & Tumblers/,0.0
favorite cart category Home/Stationery/Notebooks/,cat__favorite_cart_category_Home/Stationery/Notebooks/,0.0
favorite cart category Men's T-Shirts/,cat__favorite_cart_category_Men's T-Shirts/,0.0
